Predicton Function,Train Accuracy,Test Accuracy,Simple MIA Attack Acc,Simple MIA Attack Adv,Simple MIA Attack Prec,Simple MIA Attack Recall,Simple MIA Attack F1,Loss attack Acc,Loss attack Adv,Loss attack Prec,Loss attack Recall,Loss attack F1,Loss attack2 Acc,Loss attack2 Adv,Loss attack2 Prec,Loss attack2 Recall,Loss attack2 F1,Adversarial examples attack0 Benign Acc,Adversarial examples attack0 Adver Acc,Adversarial examples attack1 Benign Acc,Adversarial examples attack1 Adver Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.002.npz Benign Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.002.npz Adver Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.005.npz Benign Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.005.npz Adver Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.01.npz Benign Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.01.npz Adver Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.025.npz Benign Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.025.npz Adver Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.05.npz Benign Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.05.npz Adver Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.075.npz Benign Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.075.npz Adver Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.002.npz Benign Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.002.npz Adver Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.005.npz Benign Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.005.npz Adver Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.01.npz Benign Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.01.npz Adver Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.025.npz Benign Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.025.npz Adver Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.05.npz Benign Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.05.npz Adver Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.075.npz Benign Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.075.npz Adver Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.002.npz Benign Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.002.npz Adver Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.005.npz Benign Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.005.npz Adver Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.01.npz Benign Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.01.npz Adver Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.025.npz Benign Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.025.npz Adver Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.05.npz Benign Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.05.npz Adver Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.075.npz Benign Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.075.npz Adver Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.002.npz Benign Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.002.npz Adver Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.005.npz Benign Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.005.npz Adver Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.01.npz Benign Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.01.npz Adver Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.025.npz Benign Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.025.npz Adver Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.05.npz Benign Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.05.npz Adver Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.075.npz Benign Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.075.npz Adver Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.002.npz Benign Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.002.npz Adver Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.005.npz Benign Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.005.npz Adver Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.01.npz Benign Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.01.npz Adver Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.025.npz Benign Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.025.npz Adver Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.05.npz Benign Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.05.npz Adver Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.075.npz Benign Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.075.npz Adver Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.002.npz Benign Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.002.npz Adver Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.005.npz Benign Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.005.npz Adver Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.01.npz Benign Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.01.npz Adver Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.025.npz Benign Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.025.npz Adver Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.05.npz Benign Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.05.npz Adver Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.075.npz Benign Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.075.npz Adver Acc
Salt and Pepper Noise 0.01,89.118,76.53,50.05,0.001,0.507936507936508,0.032,0.0602069614299153,56.25,0.125,0.53608545034642,0.9285,0.679721815519766,57.45,0.149,0.54812661498708,0.8485,0.666012558869702,80,85,91,82,80.16,74.88,79.64,65.76,80.64,61.56,79.92,59.56,80.6,60.76,80.12,59.68,80.6,78.32,79.96,76.52,79.64,76.28,79.8,68.84,80.44,56.12,81.08,56.6,80,79,80.24,79.36,80.4,79.2,80.68,78.32,79.8,76.08,80.04,74.16,87.32,2.56,87.04,0,86.2,0,86.68,0.04,86.16,0,86.32,0.04,87.76,67.56,86.72,52.4,86.72,28.12,86.68,5.32,87,0.12,85.64,1.56,86.48,87.16,86.16,86.96,86.68,86.64,86.88,84.6,86.36,81.88,86.44,80.68
Salt and Pepper Noise 0.02,79.97,69.67,50.3,0.006,0.576923076923077,0.0225,0.0433108758421559,54.725,0.0944999999999999,0.528150134048257,0.8865,0.661937651670711,54.975,0.0995,0.533133533133533,0.8005,0.640015990405757,85,70,77,72,73.44,69.28,72.36,60.2,72.72,56.76,72.96,54.88,73.88,55.08,72.88,54.84,72.96,70.56,73.56,69.12,73.92,69.16,72.92,61.12,72.96,51.96,72.84,50.44,73.52,71.4,72.36,72.88,74.24,72.04,72.96,70.96,72.72,68.44,73.64,66.32,77.52,7.4,76.8,0.4,78.92,0.36,78.96,0.12,76.88,0.4,77.68,0.6,77.68,61.96,79.36,51.36,79.16,33.88,78.12,7.6,78.4,0.56,77.48,3.28,78.32,79,77.28,77.68,78.8,77.8,78.4,76.08,78.04,72.4,78.72,71.76
Salt and Pepper Noise 0.05,54.222,48.51,50,0,0.5,0.0045,0.0089197224975223,52.675,0.0535,0.522300958732805,0.6265,0.569674926119573,52.25,0.045,0.516617429837519,0.6995,0.594307561597281,55,40,49.5,47.5,50.28,47.48,52.6,43.8,51.16,42.8,51.64,38.84,50.24,39,50.48,38.16,51.08,50.04,50.72,48.56,51.68,47.36,51.72,44.28,51.6,37.24,50.76,37.84,52.12,51.8,50.28,50.52,51.44,50.48,51.76,49.48,51.56,47.24,52.44,46.76,52.56,21.72,52.28,6.68,54.36,6.24,53.52,7.16,54.64,7.8,53.48,7.92,53.68,43.76,52.52,38.8,51.24,31.96,52.16,14.44,54,5.48,52.44,6.4,53.76,52.52,52.84,52.44,52.88,53.24,51.12,51,53.32,48.96,53.6,47.04
Salt and Pepper Noise 0.07,40.902,38.07,50.05,0.001,0.666666666666667,0.002,0.00398803589232303,51.55,0.031,0.510689655172414,0.7405,0.604489795918367,52.4,0.0479999999999999,0.518504240555127,0.6725,0.585546364823683,50,40,39.5,40,39.48,35.8,40.2,34.56,38.72,34.92,40.12,31.68,39.76,31.24,39.32,32.24,39.88,38.52,38.64,37.32,39.52,37.64,38.76,34.84,38.76,30.4,40,29.32,39.52,40.32,39.76,39.12,40.32,38.6,39.48,37.24,40.24,37.2,39.16,35.28,41.08,21.08,40.56,10.24,40,10.4,39.92,10.6,38.84,11.96,39.84,11.28,39.52,34.64,40.36,31.72,39.76,28.32,39.6,15.68,38.96,9.48,39.6,8.8,39.52,38.72,39,39.4,40.28,39.2,39.24,37.64,39.44,37.16,39.64,36.24
Speckle Noise 0.01,88.014,75.71,50.325,0.0065,0.543624161073826,0.0405,0.075383899488134,55.375,0.1075,0.531042448743864,0.9195,0.673256452498627,56.775,0.1355,0.543723781865118,0.8425,0.660913904687194,80,85,90.5,82,79.2,73.44,79.16,65.48,78.96,60.64,78.48,59.32,79.24,60.64,79.16,59.52,79.68,77.12,79.44,76.08,78.48,73.72,79.48,66.88,78.96,55.8,79.08,56.04,79.08,77.96,78.68,78.2,79,78.64,80,76.64,79.04,74.88,80.24,72.96,85.68,3.88,86.2,0.08,85.88,0.08,85.88,0.04,85.92,0.24,86.24,0.24,85.8,66.56,85.92,52.6,86.12,29.08,85.92,5.16,85.36,0.16,86.52,1.6,86.08,85.68,86.12,85.28,86.36,86.04,86.12,83.36,86.08,80.2,85.8,78.64
Speckle Noise 0.02,78.762,67.31,50.2,0.004,0.537037037037037,0.029,0.0550284629981025,55.125,0.1025,0.531126632250228,0.8745,0.660872850935197,55.575,0.1115,0.53758004718571,0.7975,0.642238775921079,70,65,77.5,69,69.96,65.24,69.84,58.36,71.92,57.08,71.76,53.96,71.48,54.12,70.96,53.12,70.8,69.16,71.88,66.76,71.36,65.76,70.76,60.24,70.8,51.52,70.44,50.08,70.8,70.96,71.04,71.44,70.8,70.12,70.8,67.36,70.96,66.68,70.24,65.4,77.72,8.08,75.92,0.6,76.24,0.48,76.76,0.92,76.36,1.08,76.64,0.68,76.56,60.84,76.6,49.16,76.64,31.32,77.36,7.64,77.72,0.72,76.32,2.88,76.36,76.04,77.48,76.24,76.04,76.04,77.08,75.52,77.16,70.96,75.88,70.16
Speckle Noise 0.05,58.572,51.5,50.35,0.007,0.652173913043478,0.015,0.0293255131964809,53.45,0.0690000000000001,0.522534291312867,0.8,0.632161201106282,53.775,0.0755,0.527911275415896,0.714,0.60701381509033,60,40,54,52,55.6,50.6,56.12,47.32,54.96,44.24,55.72,42.28,54.04,42.16,54.28,43.48,54.64,53.92,55.6,51.24,54.44,50.88,55.24,46.88,54.68,41.16,54.72,39.48,54.64,55.04,55.6,54.12,54.6,53.44,56,53.4,55,51.48,55.8,51.08,57.12,16.24,58.12,4.08,56.44,4,57.48,4.88,58.4,4.52,57.96,4.96,57.64,44.72,57.92,39.64,56.56,30.28,57.76,11.36,57.8,4.44,57.36,5.44,58.04,57.4,57.68,55.92,57.48,56.12,58.04,56.32,57.8,53.88,57.6,52.32
Speckle Noise 0.07,49.846,44.56,50.25,0.005,0.65625,0.0105,0.0206692913385827,52.3,0.0459999999999999,0.515446608462055,0.7675,0.616713539574126,52.6,0.0519999999999999,0.520046260601388,0.6745,0.587287766652155,55,40,48.5,47.5,47.16,45.28,48.4,41.2,47.96,38.88,48.04,37.48,47.88,37.92,46.88,38.64,47.72,46.64,47.96,44.84,48.16,44.8,48,40.6,46.32,35.12,47.88,36.12,46.68,46.52,47.56,47.52,48.2,47.4,47.96,45.2,48.36,45.4,48.28,43.36,48.6,19.88,48.56,6.72,49.52,5.88,48.8,7.56,49.6,7.16,48.8,6.64,50,38.84,48.92,35.24,49.36,27.72,48.68,13.04,49.32,6.04,49.28,7.12,49.24,49.28,48.76,48.4,49,48.32,48.36,47.6,49.08,45.56,48.36,44.12
Poisson_Noise 0.01 sigma,87.692,75.89,50.275,0.0055,0.54954954954955,0.0305,0.0577925153955471,55.2,0.104,0.530214991284137,0.9125,0.670709298052187,56.1,0.122,0.539817232375979,0.827,0.653238546603476,80,75,89.5,80,80.16,73.92,78.52,65.6,80.32,61.92,78.92,60.76,79.8,59.4,79.2,60,78.68,77.44,80.56,75.52,79.52,75.16,80.52,69.12,79.36,56.52,80.2,56.48,79.28,78.92,80.36,78.68,79.84,78.84,79.68,77.28,79.92,75.76,80.4,74.88,85.4,2.8,85,0,85.2,0,85.76,0.08,85.04,0.04,85.88,0,85.52,67.4,85.6,52.64,85.6,28.08,85.68,4.96,85.72,0,85,1.76,85.12,85.72,85.48,85.24,85.8,85.24,86,83.32,85.4,81.56,86.4,79.2
Poisson_Noise 0.02 sigma,79.08,68.71,50.275,0.0055,0.579710144927536,0.02,0.0386660222329628,54.525,0.0905,0.527415934565283,0.8705,0.656857196755329,54.825,0.0965,0.532113144758735,0.7995,0.638961038961039,90,75,78,77.5,71.84,68,72.4,60.8,72.2,57.8,72.44,55.08,72.68,54.16,72.76,55.48,72.16,71,73.72,68.48,72.16,67,71.48,62.4,72.28,52.24,72.24,52.72,72.48,72.28,72.56,71.56,73,71.2,71.84,68.72,72.32,67.96,72.64,67.32,76.88,8.92,77.24,0.64,77.08,0.32,77.28,0.4,77.16,0.88,76.04,0.52,77.48,61.32,76.52,50.6,77.92,33.72,77.8,7.56,76.48,1.04,75.96,3.2,76.72,76.48,76,77.32,76.48,76.8,77.2,74.92,77.84,72.56,77.92,69.76
Poisson_Noise 0.03 sigma,70.71,62.77,50.175,0.0035,0.574468085106383,0.0135,0.0263800683927699,53.325,0.0665,0.520958083832335,0.8265,0.639087570075391,54.425,0.0885,0.530091805508331,0.7795,0.631046346893341,80,65,69.5,63,65.44,62.64,64.76,56.32,65.68,52.96,65.68,50.28,65.24,51.04,65.76,51.76,66.12,64.44,65.84,61.44,65.28,61.64,65.4,55.48,65.52,47.68,65.8,47.68,66.12,65,65.88,65.56,66.4,65.56,66.12,63.56,65.2,61.52,65.24,60.72,69.2,14.12,68.72,2.44,69.72,1.92,70.32,1.96,69.4,2.44,69.6,2.56,68.64,56.8,70.08,47.64,69.88,35.6,69.6,9.92,69.8,2.56,69.44,4.6,68.92,70,69.68,69.68,69.88,68.44,69.92,68.56,70.04,64.6,68.6,63.08
Poisson_Noise 0.04 sigma,64.408,57.85,49.925,-0.0015,0.421052631578947,0.004,0.0079247152055473,53.625,0.0725,0.524871355060034,0.765,0.622583926754832,53.725,0.0745,0.526371681415929,0.7435,0.616373056994819,70,50,69.5,57,61.08,55.92,60.44,52.12,59.72,50,59.24,46.76,59.24,46.32,60.04,45.68,59.12,59.08,59.44,56.36,58.12,55.48,60.24,52.08,59.52,44.2,59.52,44.56,60.72,59.48,59.16,59.28,59.68,59.68,59.72,57.52,58.32,56.04,60.52,54.76,63.6,18.28,63.68,4.4,62.72,3.72,62.64,4.32,62.36,4.72,61.72,5.04,62.8,52.88,63.44,44.64,61.28,35.68,62.64,13.04,61.52,4.28,63.36,5.48,62.28,62.08,62.68,63.12,63.28,62.2,62.88,60.32,64.4,58.56,62.52,57.68
Local Median Smoothing Filter 2x2,80.358,70.52,50.025,0.0005,0.507462686567164,0.017,0.0328979196903725,53.575,0.0715,0.521097668928888,0.883,0.655409166821303,53.8,0.076,0.524358974358974,0.818,0.6390625,80,75,76,74.5,73.52,67.32,73.52,59.68,73.52,56.32,73.52,53.8,73.52,55.6,73.52,54.76,73.52,71.36,73.52,68.84,73.52,67.36,73.52,61.24,73.52,51,73.52,51.08,73.52,73.12,73.52,73.28,73.52,73.24,73.52,72.6,73.52,73.28,73.52,71.56,78.2,40.52,78.2,16.36,78.2,19.56,78.2,24.64,78.2,28.44,78.2,28.56,78.2,68.6,78.2,64.88,78.2,52.56,78.2,28.84,78.2,24.84,78.2,10.48,78.2,78.12,78.2,78.08,78.2,78.04,78.2,78.32,78.2,78.08,78.2,77.08
Local Median Smoothing Filter 3x3,72.372,62.99,50.025,0.0005,0.513513513513514,0.0095,0.0186548846342661,54.225,0.0845,0.52621780949426,0.848,0.649435190503542,54.05,0.0810000000000001,0.527126590756865,0.787,0.631367829923787,75,75,73,69,66.68,62.2,66.68,56.76,66.68,53.88,66.68,51.64,66.68,51.84,66.68,51,66.68,64.64,66.68,62.92,66.68,61.88,66.68,56.6,66.68,46.76,66.68,46.88,66.68,66.16,66.68,65.96,66.68,65.84,66.68,65.04,66.68,63.16,66.68,62.8,70.12,46.8,70.12,29.48,70.12,29.16,70.12,33.32,70.12,36.44,70.12,37.36,70.12,63.64,70.12,62.44,70.12,52.76,70.12,35.76,70.12,35.4,70.12,17.96,70.12,69.88,70.12,69.72,70.12,69.48,70.12,68.92,70.12,68.36,70.12,65.8
Color Bit Reduction 4bit,95.728,82.1,50.15,0.003,0.515463917525773,0.05,0.0911577028258888,56.7,0.134,0.537853107344633,0.952,0.687364620938628,58.925,0.1785,0.556541019955654,0.8785,0.681403917006011,85,85,98,95,85.88,80.28,85.88,71.36,85.88,66.56,85.88,65.28,85.88,65.88,85.88,65,85.88,84.32,85.88,82.36,85.88,81.48,85.88,74,85.88,61.92,85.88,62.12,85.88,86,85.88,85.72,85.88,85.08,85.88,84.04,85.88,81.8,85.88,80.6,92.96,0.6,92.96,0,92.96,0,92.96,0,92.96,0,92.96,0,92.96,71.04,92.96,44.2,92.96,21.76,92.96,2.76,92.96,0,92.96,0.92,92.96,93.36,92.96,93.12,92.96,92.76,92.96,92.2,92.96,89.04,92.96,88.04
Color Bit Reduction 2bit,68.276,60.86,50.225,0.0045,0.548387096774194,0.0255,0.0487338748208313,53.425,0.0685,0.522075410892685,0.81,0.634920634920635,53.775,0.0754999999999999,0.526043463263194,0.7625,0.622576035925699,70,55,68,61.5,64.28,59.28,64.28,52.88,64.28,51.48,64.28,50.68,64.28,49.84,64.28,49.48,64.28,62.4,64.28,60.8,64.28,59.12,64.28,54.48,64.28,47.96,64.28,47.84,64.28,63.6,64.28,63.44,64.28,63,64.28,60.64,64.28,59.56,64.28,58.32,67.48,25.32,67.48,7.04,67.48,7.4,67.48,10.32,67.48,10.88,67.48,10.76,67.48,55.28,67.48,48.28,67.48,39.52,67.48,18.72,67.48,11.2,67.48,8.88,67.48,67.28,67.48,67.6,67.48,67,67.48,65.56,67.48,63.08,67.48,61.6
Non-local Mean denoising strength 0.8,96.232,82.81,50.05,0.001,0.50531914893617,0.0475,0.086837294332724,57.075,0.1415,0.539915373765867,0.957,0.690351668169522,58.95,0.179,0.556933842239186,0.8755,0.680793157076205,90,90,98.5,93.5,86.52,80.92,86.52,71.88,86.52,67.84,86.52,66.44,86.52,66.6,86.52,67.04,86.52,84.24,86.52,81.8,86.52,81.24,86.52,74.4,86.52,62.8,86.52,63.08,86.52,86.32,86.52,85.68,86.52,85.64,86.52,83.92,86.52,82.04,86.52,81.04,93.32,1.72,93.32,0,93.32,0,93.32,0.04,93.32,0.04,93.32,0,93.32,73.28,93.32,50.48,93.32,27.08,93.32,4.52,93.32,0.4,93.32,1.48,93.32,93.56,93.32,93.36,93.32,93.16,93.32,92,93.32,89.68,93.32,89.32
Non-local Mean denoising strength 1.5,96.24,82.77,50.15,0.003,0.515957446808511,0.0485,0.0886654478976234,57.125,0.1425,0.540220152413209,0.957,0.69060075771243,59,0.18,0.557324840764331,0.875,0.680933852140078,90,90,97.5,93,86.32,81.24,86.32,72.08,86.32,67.76,86.32,66.52,86.32,66.72,86.32,67.04,86.32,84.28,86.32,81.92,86.32,81.72,86.32,74.6,86.32,62.8,86.32,63.12,86.32,86.16,86.32,85.44,86.32,85.92,86.32,83.96,86.32,82.08,86.32,81,93.52,2.4,93.52,0,93.52,0.04,93.52,0.04,93.52,0.16,93.52,0.08,93.52,73.76,93.52,52,93.52,28.16,93.52,4.52,93.52,0.4,93.52,1.64,93.52,93.6,93.52,93.52,93.52,93.16,93.52,92.04,93.52,89.76,93.52,89.32
Non-local Mean denoising strength 3,96.028,82.55,50.125,0.0025,0.513513513513514,0.0475,0.0869565217391304,57.25,0.145,0.541053227633069,0.9555,0.690889370932755,59.075,0.1815,0.558154437680231,0.871,0.68033587190002,90,90,97.5,92,86.28,80.76,86.28,72.4,86.28,68.36,86.28,67.04,86.28,67.64,86.28,67.52,86.28,84.4,86.28,81.92,86.28,81.8,86.28,74.8,86.28,63.52,86.28,63.8,86.28,86.04,86.28,85.72,86.28,85.92,86.28,85,86.28,83.12,86.28,82.48,93.2,4.12,93.2,0.08,93.2,0.24,93.2,0.48,93.2,0.64,93.2,0.52,93.2,74.84,93.2,55.36,93.2,31.76,93.2,5.52,93.2,0.56,93.2,1.8,93.2,93.28,93.2,93.16,93.2,92.84,93.2,92.64,93.2,90.6,93.2,89.96
Non-local Mean denoising strength 7,92.514,79.51,50.175,0.0035,0.519553072625698,0.0465,0.0853602569986232,55.5,0.11,0.531055900621118,0.9405,0.678816311800794,57.3,0.146,0.546231792273591,0.8625,0.66886390073672,80,80,90.5,86.5,83.52,79,83.52,72,83.52,69.16,83.52,68.68,83.52,70.32,83.52,70.12,83.52,82,83.52,79.56,83.52,79.84,83.52,74.4,83.52,65.96,83.52,66.08,83.52,83.72,83.52,84,83.52,83.96,83.52,84.52,83.52,83.6,83.52,83.32,90.12,14.48,90.12,2.72,90.12,3.04,90.12,3.92,90.12,5,90.12,4.6,90.12,74.32,90.12,63.08,90.12,43.84,90.12,10.12,90.12,4.52,90.12,3.08,90.12,90.12,90.12,90.04,90.12,90.04,90.12,90.84,90.12,90.32,90.12,90.44
Non-local Mean denoising strength 10,86.658,74.79,50.175,0.0035,0.522875816993464,0.04,0.0743149094287041,55.125,0.1025,0.529736002320859,0.913,0.670460804112355,56.075,0.1215,0.538583677357891,0.848,0.658768692950087,85,75,84.5,80,78.68,74.24,78.68,68.28,78.68,66.16,78.68,66.6,78.68,66.68,78.68,67.12,78.68,77.36,78.68,75.6,78.68,75.4,78.68,71.24,78.68,64.4,78.68,64.64,78.68,78.72,78.68,78.88,78.68,79.44,78.68,79.28,78.68,79.8,78.68,79.68,84.12,26.08,84.12,7.12,84.12,6.8,84.12,8.6,84.12,9.28,84.12,9.88,84.12,70.52,84.12,64.52,84.12,50.12,84.12,17.16,84.12,9.24,84.12,4.6,84.12,84.24,84.12,84.44,84.12,84.48,84.12,85.52,84.12,85.88,84.12,87.28
Non-local Mean denoising strength 12,82.154,71.34,50.225,0.0045,0.534883720930233,0.0345,0.0648191639267262,54.3,0.086,0.525504151838671,0.886,0.659717051377513,55.175,0.1035,0.533162447933355,0.832,0.64987307166569,75,65,80.5,75,74.64,70.92,74.64,65.76,74.64,64.2,74.64,63.44,74.64,63.84,74.64,64.76,74.64,73.08,74.64,71.2,74.64,70.84,74.64,67.96,74.64,61.8,74.64,61.72,74.64,74.84,74.64,75.08,74.64,74.92,74.64,75.16,74.64,76.36,74.64,76.52,79.4,34,79.4,9.8,79.4,10.12,79.4,11.88,79.4,12.56,79.4,13.36,79.4,66.4,79.4,63.72,79.4,51.28,79.4,21.2,79.4,12.44,79.4,5.88,79.4,79.48,79.4,79.48,79.4,80.32,79.4,81.6,79.4,82.8,79.4,83.52
Non-local Mean denoising strength 15,74.536,65.2,50.075,0.0015,0.517241379310345,0.0225,0.0431241015812171,53.875,0.0775,0.523853493382579,0.851,0.648504477043246,53.925,0.0785,0.525864909390445,0.798,0.633962264150943,65,65,70,65.5,67.88,65.04,67.88,61.52,67.88,59.88,67.88,59.56,67.88,60.32,67.88,61.08,67.88,66.64,67.88,65.56,67.88,65.12,67.88,62.76,67.88,59.76,67.88,59.64,67.88,67.76,67.88,68.44,67.88,68.56,67.88,69.68,67.88,70.96,67.88,71.8,72.96,39.48,72.96,15.24,72.96,14.52,72.96,15.76,72.96,17.44,72.96,17.12,72.96,62.28,72.96,61.24,72.96,50.8,72.96,27.2,72.96,16.2,72.96,8.92,72.96,73.36,72.96,73.48,72.96,73.84,72.96,74.36,72.96,77,72.96,77.6
Defense Autoencoder,94.338,80.95,50.125,0.0025,0.514619883040936,0.044,0.0810686319668356,55.975,0.1195,0.53355798932884,0.95,0.683330336270455,58.1,0.162,0.551039697542533,0.8745,0.676072671047545,85,90,95,85,84.72,81.04,84.72,76.12,84.72,74.84,84.72,73.92,84.72,75.84,84.72,76.08,84.72,83.56,84.72,83,84.72,81.52,84.72,76.64,84.72,70.96,84.72,71.12,84.72,84.8,84.72,84.72,84.72,84.64,84.72,84.12,84.72,83.84,84.72,83.4,91.32,30.48,91.32,8.36,91.32,13.24,91.32,21.76,91.32,27.12,91.32,28.68,91.32,78.72,91.32,72.08,91.32,55.12,91.32,24.28,91.32,27.44,91.32,10.56,91.32,91.36,91.32,91.08,91.32,91.16,91.32,91.16,91.32,90.56,91.32,90.32
